x,y
0.40,12.12
-0.48,22.18
1.07,35.62
0.41,47.59
0.31,61.97
-0.50,72.54
-1.54,87.95
0.03,100.25
-0.44,112.25
0.23,127.17
-0.64,138.01
-1.15,152.79
-0.45,165.47
0.96,178.63
1.30,193.89
0.52,202.63
0.18,216.16
-0.33,228.63
1.25,243.24
0.76,255.20
1.21,268.75
0.28,281.38
-1.92,294.47
0.95,306.64
-0.38,318.82
1.65,331.73
1.23,346.36
1.01,358.33
2.28,372.29
0.87,384.57
1.42,395.18
1.81,407.91
2.10,421.18
0.46,433.89
-1.64,447.11
0.49,460.47
1.89,473.03
0.52,486.25
0.73,499.23
1.29,512.30
-0.69,527.57
0.39,537.96
1.08,550.94
1.20,565.60
0.66,578.10
0.19,591.51
2.24,602.89
2.17,615.81
1.23,629.42
0.67,640.69
2.14,655.84
2.00,667.40
2.19,678.39
1.53,694.57
1.62,707.43
2.27,719.12
0.89,729.64
1.62,743.19
2.21,759.00
1.90,770.67
1.55,782.23
1.93,797.25
1.15,810.08
1.95,822.28
2.23,834.58
1.91,847.22
0.33,862.51
1.20,874.64
0.89,886.28
-0.81,900.07
2.13,912.54
2.28,925.55
1.79,938.13
0.60,949.62
0.79,963.36
1.14,976.91
1.29,989.09
2.04,1003.26
2.93,1015.18
2.86,1027.61
0.84,1040.91
2.25,1054.24
1.68,1067.28
3.06,1079.57
3.07,1092.91
2.61,1104.49
3.01,1119.36
1.72,1131.44
2.37,1145.05
2.32,1157.04
2.81,1169.90
1.05,1183.33
3.54,1196.15
1.66,1209.08
2.35,1222.43
2.94,1235.88
2.41,1247.69
1.25,1258.76
1.38,1273.43
2.60,1287.20
3.26,1298.35
1.62,1312.56
3.25,1324.82
3.55,1337.60
2.53,1351.79
2.36,1362.86
2.19,1376.91
2.10,1390.26
2.87,1403.17
3.97,1416.08
1.97,1428.39
4.18,1441.29
1.18,1453.80
2.38,1467.06
3.81,1481.32
3.25,1492.88
3.34,1507.62
2.41,1517.82
2.66,1532.39
2.52,1544.77
3.15,1557.99
3.44,1569.85
3.65,1583.71
3.00,1595.75
2.46,1609.43
2.90,1621.69
2.93,1633.95
2.84,1646.64
2.51,1659.84
2.78,1673.19
2.33,1686.26
2.59,1698.56
2.68,1713.02
3.55,1724.35
3.17,1738.02
2.84,1750.35
3.30,1763.87
3.96,1775.22
3.18,1790.10
4.81,1801.60
4.26,1815.68
2.57,1828.32
3.80,1840.57
2.90,1854.47
4.02,1867.25
3.87,1879.47
4.21,1891.33
2.89,1906.70
4.91,1916.81
2.66,1930.54
3.69,1944.41
3.68,1957.95
3.13,1969.00
5.13,1982.61
4.54,1995.83
4.62,2008.91
3.53,2021.63
4.67,2035.32
4.45,2046.42
4.94,2061.45
4.62,2072.22
4.22,2084.86
4.42,2097.33
3.46,2111.78
4.71,2123.93
4.85,2136.84
4.02,2151.85
4.38,2162.64
4.02,2176.73
4.03,2189.34
4.43,2202.85
3.78,2216.33
4.84,2227.27
3.18,2240.37
4.53,2254.55
4.34,2267.67
4.56,2278.93
5.09,2292.41
4.21,2305.18
