x,y
1.39,32.19
0.51,8.32
0.03,3.64
0.56,15.39
2.62,27.61
0.13,4.88
1.13,20.92
2.41,29.27
2.73,28.98
1.09,19.71
2.65,30.67
1.28,32.17
1.64,29.08
0.64,19.50
0.32,12.17
0.31,11.21
1.55,22.86
1.74,23.72
0.80,20.28
0.43,7.88
0.28,5.77
2.36,30.61
2.62,31.41
0.39,4.36
2.67,26.20
2.01,32.73
2.32,21.99
2.49,23.95
2.36,24.63
2.62,25.46
0.56,21.82
2.98,30.34
2.78,28.08
2.98,26.63
0.35,14.54
2.32,32.46
1.12,19.06
2.55,30.44
1.77,36.73
1.57,29.98
2.71,31.47
1.16,31.99
0.42,7.67
2.21,32.56
0.56,19.24
0.74,21.01
0.44,14.51
0.67,24.30
2.02,36.50
2.11,32.79
