x,y
0.40,8.54
-0.34,10.56
0.40,10.88
0.93,11.43
-1.56,10.69
-0.11,12.68
-0.14,12.17
0.54,14.25
0.72,13.72
1.54,14.63
-0.62,14.95
1.21,16.58
1.80,14.55
2.23,15.45
1.97,14.82
0.48,16.23
0.85,17.27
2.08,18.86
1.33,19.92
2.25,17.33
2.38,19.24
2.52,19.82
1.23,19.54
1.18,20.49
3.19,20.90
2.72,20.36
3.37,22.15
2.41,23.40
2.59,22.97
2.56,23.80
3.32,23.30
1.65,23.58
2.86,25.12
3.24,24.78
3.33,25.73
4.06,26.91
2.93,26.03
3.75,26.10
3.03,25.81
3.29,27.73
4.34,28.58
4.57,28.72
3.60,29.48
4.35,29.68
5.35,29.07
4.13,30.99
3.13,30.20
5.19,32.82
4.52,32.75
4.00,32.68
4.19,33.34
4.52,34.49
3.57,34.70
3.37,34.15
4.43,35.60
4.91,34.94
4.29,34.99
4.10,34.83
5.88,35.41
6.64,36.30
6.12,37.19
5.54,37.15
6.83,38.00
3.92,38.75
4.70,38.07
6.23,38.60
4.94,40.66
5.65,41.46
5.40,40.40
6.01,41.79
5.82,42.56
6.65,43.02
5.49,43.49
8.49,43.66
7.23,43.06
6.71,44.73
6.68,45.17
6.82,43.73
7.67,46.01
6.69,46.23
7.28,46.76
8.08,46.30
8.06,45.59
8.14,49.40
6.54,48.92
7.73,48.05
7.19,49.63
8.17,49.00
7.92,50.74
7.70,49.19
8.76,51.34
7.41,50.63
8.25,51.80
7.64,51.95
8.31,52.10
8.16,54.58
8.18,53.25
9.60,53.53
8.19,53.67
7.44,54.77
