x,y
1.85,2.86
2.80,13.49
2.16,10.27
0.15,2.21
2.17,15.53
0.92,7.79
1.39,-0.79
2.58,14.33
0.77,-4.69
0.47,1.64
1.65,11.13
1.50,-2.00
2.57,9.95
1.31,-1.08
0.10,4.07
0.71,-4.08
0.57,1.85
2.26,5.41
0.68,3.35
0.54,-3.75
1.23,3.89
0.05,7.50
2.59,19.08
2.69,16.74
0.14,0.46
1.54,2.30
1.98,1.32
2.86,22.85
1.82,2.80
1.02,9.22
1.98,12.99
1.07,8.46
1.16,-3.46
1.90,4.97
0.38,-4.88
0.75,-0.03
0.44,-2.87
0.25,-4.64
0.19,5.05
0.70,-4.80
0.75,0.49
1.30,2.95
2.12,7.14
0.95,8.65
1.09,-3.14
2.84,22.16
0.15,-5.68
0.14,-3.12
1.85,3.53
1.64,8.14
